gold_standard:4.0,4.2,4.2,3.2,0.6,3.6,3.6,2.0,4.4,1.4,4.6,2.0,2.2,3.8,3.6,2.6,4.8,3.8,2.8,3.6,4.2,3.4,4.0,4.0,3.2,4.4,5.0,0.0,3.8,4.2,2.4,3.6,3.8,2.0,2.2,4.6,0.6,3.2,4.0,2.0,3.4,3.8,4.2,3.2,5.0,1.8,1.6,4.6,1.8,1.8,4.8,4.4,3.4,4.4,1.2,3.8,3.8,1.4,4.0,4.4,1.4,3.4,3.4,3.4,3.0,3.8,4.4,3.4,4.0,0.8,4.6,1.0,3.2,3.6,4.2,1.2,4.2,3.6,2.0,4.2,3.8,1.2,3.25,4.2,2.4,4.6,4.4,1.8,3.2,3.4,2.8,3.8,3.4,1.8,2.8,3.2,1.8,3.4,5.0,1.4,2.2,5.0,0.6,0.6,3.4,4.6,1.8,4.2,2.6,2.8,4.8,4.4,4.0,4.2,3.8,3.2,3.4,3.0,3.4,3.4,3.8,5.0,5.0,0.0,2.4,3.6,2.0,4.2,3.75,4.0,3.0,3.6,1.8,4.8,3.2,3.8,5.0,3.2,3.8,1.0,4.0,2.2,3.2,4.0,3.8,2.6,3.4,1.4,3.2,5.0,1.0,5.0,5.0,4.2,2.4,4.2,2.6,3.4,3.6,1.8,1.4,3.6,4.0,1.2,3.0,1.8,3.2,4.2,4.0,3.2,3.4,3.8,2.4,3.4,2.0,3.2,3.4,3.2,3.4,4.6,1.6,5.0,4.8,1.2,4.6,2.8,3.4,2.6,1.8,4.4,4.0,3.8,1.6,3.6,3.6,0.0,2.2,3.6,1.2,4.2,3.4,0.0,3.8,4.4,3.4,3.0,4.0,0.8,4.0,5.0,1.0,5.0,5.0,2.2,4.8,1.8,2.2,2.6,4.4,1.2,4.8,3.8,1.2,3.0,4.6,3.2,0.2,4.8,0.0,3.6,4.2,2.6,3.8,3.8,1.6,3.2,3.2,3.0,2.6,1.0,0.4,1.0,4.2,3.6,3.4,3.6,0.8,0.4,1.4,2.4,1.2,3.2,3.6,4.0,2.2,2.6,2.2,2.8,3.6,3.0,2.0,3.4,3.0,2.6,3.0,2.0,0.0,4.4,0.4,3.6,0.6,1.8,1.8,3.0,3.4,1.2,0.0,1.4,2.0,3.6,4.0,3.2,1.8,4.0,3.0,3.6,3.2,3.6,2.0,0.4,3.0,3.0,3.4,3.0,2.6,1.8,3.8,2.4,0.8,2.0
hamming___normalization_strategy-longer:0.2,0.41,0.17,0.28,0.07,0.06,0.22,0.11,0.0,0.08,0.04,0.17,0.32,0.04,0.02,0.3,0.04,0.24,0.31,0.29,0.03,0.0,0.05,0.8,0.05,0.02,0.42,0.07,0.03,0.1,0.12,0.37,0.38,0.26,0.38,0.05,0.07,0.03,0.03,0.04,0.03,0.06,0.22,0.08,0.44,0.61,0.4,0.52,0.04,0.37,0.24,0.25,0.53,0.54,0.04,0.06,0.03,0.06,0.52,0.02,0.04,0.03,0.36,0.49,0.07,0.03,0.14,0.04,0.23,0.04,0.12,0.0,0.06,0.08,0.45,0.03,0.02,0.08,0.19,0.05,0.03,0.0,0.04,0.04,0.04,0.43,0.07,0.1,0.29,0.5,0.05,0.02,0.24,0.03,0.07,0.12,0.24,0.13,0.35,0.03,0.06,0.28,0.36,0.0,0.06,0.09,0.21,0.17,0.14,0.03,0.05,0.11,0.05,0.13,0.06,0.0,0.03,0.03,0.04,0.04,0.16,0.22,0.36,0.12,0.45,0.0,0.01,0.08,0.23,0.06,0.23,0.34,0.12,0.14,0.1,0.36,0.07,0.67,0.06,0.01,0.07,0.07,0.32,0.44,0.4,0.07,0.56,0.0,0.05,0.18,0.04,0.04,0.18,0.06,0.2,0.15,0.03,0.0,0.55,0.02,0.06,0.08,0.03,0.02,0.77,0.06,0.01,0.05,0.1,0.02,0.02,0.07,0.04,0.05,0.09,0.09,0.75,0.03,0.03,0.03,0.25,0.21,0.03,0.08,0.04,0.01,0.06,0.2,0.74,0.02,0.06,0.03,0.06,0.04,0.57,0.0,0.56,0.65,0.01,0.08,0.05,0.04,0.01,0.12,0.19,0.06,0.43,0.05,0.38,0.14,0.12,0.17,0.76,0.02,0.12,0.6,0.09,0.56,0.02,0.01,0.04,0.15,0.04,0.01,0.19,0.14,0.05,0.25,0.0,0.05,0.05,0.25,0.29,0.09,0.01,0.15,0.04,0.09,0.33,0.06,0.08,0.37,0.04,0.01,0.02,0.04,0.09,0.03,0.04,0.05,0.03,0.53,0.13,0.06,0.02,0.03,0.2,0.04,0.26,0.2,0.11,0.03,0.01,0.07,0.09,0.03,0.0,0.04,0.0,0.06,0.06,0.01,0.07,0.04,0.02,0.52,0.02,0.02,0.0,0.59,0.12,0.31,0.06,0.03,0.13,0.2,0.05,0.08,0.52,0.08,0.06,0.44,0.6,0.03,0.01,0.03,0.25,0.36,0.03,0.05
hamming___normalization_strategy-shorter:0.21,0.73,0.2,0.65,0.11,0.07,0.4,0.14,0.0,0.09,0.05,0.21,0.34,0.05,0.03,0.34,0.06,0.27,0.47,0.39,0.04,0.0,0.06,1.0,0.1,0.02,0.46,0.08,0.04,0.11,0.2,0.47,0.39,0.33,0.79,0.05,0.09,0.05,0.04,0.06,0.05,0.08,0.26,0.1,0.5,0.61,0.5,0.61,0.05,0.42,0.25,0.34,0.56,0.64,0.04,0.08,0.04,0.07,0.64,0.03,0.04,0.03,0.42,0.99,0.08,0.04,0.19,0.05,0.26,0.05,0.14,0.0,0.07,0.11,0.52,0.03,0.04,0.1,0.19,0.06,0.04,0.0,0.05,0.05,0.04,0.61,0.07,0.12,0.29,0.72,0.06,0.04,0.33,0.05,0.08,0.16,0.25,0.18,0.37,0.05,0.06,0.33,0.39,0.0,0.07,0.1,0.21,0.17,0.15,0.04,0.05,0.13,0.06,0.17,0.07,0.0,0.03,0.03,0.06,0.04,0.25,0.23,0.36,0.14,0.46,0.0,0.01,0.11,0.32,0.09,0.31,0.4,0.12,0.16,0.11,0.41,0.08,0.75,0.08,0.02,0.07,0.09,0.42,0.47,0.98,0.09,0.68,0.0,0.06,0.18,0.06,0.04,0.25,0.06,0.28,0.19,0.05,0.0,0.8,0.03,0.07,0.09,0.03,0.02,0.82,0.08,0.01,0.06,0.14,0.02,0.02,0.1,0.05,0.07,0.11,0.11,0.97,0.04,0.04,0.04,0.26,0.21,0.03,0.1,0.05,0.02,0.11,0.25,0.96,0.03,0.08,0.04,0.09,0.06,0.81,0.0,0.59,0.81,0.02,0.09,0.07,0.07,0.01,0.16,0.2,0.08,0.6,0.07,0.48,0.16,0.13,0.17,0.86,0.02,0.12,0.81,0.11,0.59,0.02,0.01,0.04,0.15,0.06,0.01,0.2,0.21,0.09,0.31,0.0,0.07,0.07,0.33,0.33,0.12,0.02,0.2,0.05,0.15,0.68,0.06,0.08,0.37,0.06,0.02,0.02,0.04,0.12,0.04,0.05,0.07,0.06,0.59,0.13,0.08,0.02,0.05,0.33,0.05,0.28,0.31,0.14,0.04,0.03,0.09,0.11,0.04,0.0,0.04,0.0,0.07,0.08,0.01,0.1,0.06,0.02,0.82,0.02,0.03,0.0,0.72,0.13,0.32,0.15,0.04,0.13,0.31,0.07,0.09,0.63,0.09,0.09,0.66,0.61,0.06,0.02,0.03,0.25,0.52,0.03,0.1
hamming___normalization_strategy-both:0.2,0.53,0.18,0.4,0.09,0.06,0.28,0.12,0.0,0.08,0.05,0.19,0.33,0.04,0.03,0.32,0.05,0.25,0.38,0.33,0.03,0.0,0.05,0.89,0.07,0.02,0.44,0.07,0.04,0.1,0.15,0.41,0.38,0.29,0.51,0.05,0.08,0.04,0.03,0.04,0.03,0.07,0.24,0.09,0.47,0.61,0.44,0.56,0.05,0.39,0.24,0.29,0.55,0.58,0.04,0.07,0.03,0.06,0.57,0.03,0.04,0.03,0.39,0.66,0.07,0.03,0.16,0.05,0.24,0.04,0.13,0.0,0.06,0.09,0.49,0.03,0.03,0.09,0.19,0.05,0.04,0.0,0.04,0.05,0.04,0.51,0.07,0.11,0.29,0.59,0.05,0.03,0.28,0.04,0.08,0.14,0.25,0.15,0.36,0.04,0.06,0.3,0.38,0.0,0.06,0.1,0.21,0.17,0.15,0.03,0.05,0.12,0.06,0.15,0.06,0.0,0.03,0.03,0.05,0.04,0.2,0.22,0.36,0.13,0.46,0.0,0.01,0.09,0.27,0.07,0.26,0.37,0.12,0.15,0.11,0.38,0.07,0.71,0.07,0.02,0.07,0.08,0.36,0.46,0.57,0.08,0.61,0.0,0.06,0.18,0.05,0.04,0.21,0.06,0.23,0.17,0.04,0.0,0.66,0.02,0.06,0.08,0.03,0.02,0.79,0.07,0.01,0.06,0.11,0.02,0.02,0.09,0.04,0.06,0.1,0.1,0.85,0.04,0.03,0.04,0.25,0.21,0.03,0.09,0.04,0.02,0.08,0.22,0.84,0.02,0.07,0.04,0.07,0.04,0.67,0.0,0.58,0.72,0.01,0.08,0.05,0.05,0.01,0.13,0.2,0.07,0.5,0.06,0.43,0.15,0.12,0.17,0.81,0.02,0.12,0.69,0.1,0.57,0.02,0.01,0.04,0.15,0.04,0.01,0.2,0.17,0.07,0.28,0.0,0.06,0.06,0.28,0.31,0.1,0.01,0.17,0.05,0.11,0.44,0.06,0.08,0.37,0.04,0.02,0.02,0.04,0.11,0.03,0.04,0.06,0.04,0.56,0.13,0.07,0.02,0.04,0.24,0.05,0.27,0.25,0.12,0.03,0.02,0.07,0.1,0.03,0.0,0.04,0.0,0.06,0.07,0.01,0.09,0.05,0.02,0.64,0.02,0.02,0.0,0.65,0.12,0.31,0.09,0.04,0.13,0.25,0.06,0.08,0.57,0.09,0.07,0.53,0.6,0.04,0.02,0.03,0.25,0.43,0.03,0.07
wu_palmer___sentence_merge_strategy-all_to_all_synset_strategy-all_synsets_wordnet-slk:0.32,0.42,0.5,0.48,0,0.33,0.32,0.38,0.57,0.32,0.35,0.3,0.44,0.38,0.4,0.37,0.48,0.36,0.33,0.32,0.32,0.57,0.38,0.45,0.37,0.31,1.0,0.53,0.41,0.33,0.3,0.42,0.37,0.26,0.51,0.38,0.36,0.29,0.33,0.45,0.35,0.34,0.29,0.37,0.52,0.38,0.56,0.35,0.29,0.48,0.49,0.34,0.48,0.41,0.36,0.32,0.39,0.29,0.33,0.33,0.32,0.28,0.39,0.36,0.27,0.39,0.45,0.3,0.41,0.58,0.28,0.56,0.28,0.35,0.58,0.59,0.36,0.35,0.31,0.31,0.4,0.55,0.33,0.41,0.32,0.32,0.37,0.48,0.37,0.58,0.27,0.39,0.28,0.33,0.32,0.47,0.52,0.33,0.35,0.31,0.39,0.36,0.43,0.56,0.5,0.26,0.39,0.33,0.29,0.35,0.3,0.33,0.29,0.33,0.29,0.31,0.31,0.39,0.31,0.53,0.33,0.51,0.38,0.45,0.31,0.38,0.36,0.44,0.34,0.33,0.38,0.55,0.28,0.35,0.32,0.29,0.27,0.37,0.28,0.3,0.34,0.36,0.51,0.33,0.45,0.35,0.43,0.46,0.34,0.3,0.31,0.37,0.38,0.36,0.35,0.29,0.27,0.4,0.34,0.34,0.38,0.35,0.31,0.27,0.53,0.54,0.42,0.34,0.32,0.31,0.33,0.35,0.44,0.31,0.26,0.27,0.35,0.37,0.3,0.32,0.32,0.44,0.41,0.31,0.5,0.29,0.36,0.59,0.56,0.52,0.32,0.3,0.39,0.33,0.38,0,0.38,0.31,0.35,0.31,0.36,0.38,0.33,0.39,0.32,0.39,0.36,0.38,0.31,0.35,0.5,0.34,0.38,0.37,0.46,0.38,0.3,0.4,0.38,0.32,0.31,0.34,0.52,0.34,0.34,0.32,0.38,0.28,0.29,0.36,0.31,0.28,0.38,0.32,0.32,0.33,0.32,0.25,0.3,0.38,0.36,0.31,0.35,0.4,0.31,0.31,0.33,0.59,0.26,0.37,0.24,0.33,0.32,0.28,0.35,0.38,0.38,0.39,0.34,0.4,0.33,0.36,0.34,0.31,0.3,0.44,0.45,0.35,0.35,0.31,0.44,0.3,0.34,0.33,0.28,0.33,0.28,0.45,0.36,0.29,0.37,0.56,0.4,0.31,0.31,0.37,0.32,0.31,0.37,0.58,0.32,0.36,0.38,0.35,0.34,0.37,0.31,0.32,0.52,0.33
wu_palmer___sentence_merge_strategy-all_to_all_synset_strategy-first_synsets_wordnet-slk:0.37,0.4,0.56,0.4,0,0.39,0.36,0.47,0.49,0.33,0.35,0.39,0.43,0.41,0.52,0.35,0.44,0.38,0.36,0.4,0.38,0.74,0.46,0.49,0.42,0.32,1.0,0.61,0.49,0.39,0.35,0.47,0.38,0.31,0.54,0.52,0.35,0.34,0.4,0.5,0.43,0.34,0.31,0.44,0.5,0.77,1.0,0.38,0.32,0.62,0.53,0.44,0.56,0.51,0.4,0.36,0.36,0.32,0.39,0.44,0.31,0.34,0.44,0.35,0.33,0.36,0.48,0.33,0.45,1.0,0.3,1.0,0.32,0.5,0.6,0.7,0.52,0.77,0.34,0.37,0.4,0.58,0.34,0.49,0.35,0.39,0.38,0.43,0.37,1.0,0.37,0.41,0.34,0.48,0.34,0.4,0.47,0.34,0.58,0.34,0.42,0.65,0.51,1.0,0.71,0.32,0.36,0.4,0.39,0.35,0.36,0.42,0.34,0.38,0.31,0.35,0.38,0.37,0.36,0.49,0.34,0.72,0.43,0.65,0.4,0.41,0.38,0.54,0.35,0.34,0.38,0.72,0.32,0.49,0.34,0.29,0.32,0.39,0.3,0.34,0.38,0.42,0.53,0.39,0.42,0.36,0.64,0.33,0.38,0.34,0.32,0.34,0.46,0.57,0.37,0.29,0.32,0.34,0.37,0.4,0.35,0.39,0.33,0.38,0.75,0.44,0.5,0.4,0.42,0.37,0.44,0.3,0.48,0.3,0.29,0.34,0.42,0.34,0.37,0.34,0.37,0.54,0.42,0.36,0.43,0.33,0.47,0.59,0.89,0.5,0.42,0.38,0.42,0.37,0.5,0,0.44,0.35,0.34,0.33,0.42,0.36,0.35,0.41,0.34,0.35,0.42,0.36,0.36,0.49,0.46,0.41,0.47,0.39,0.53,0.4,0.32,0.44,0.51,0.37,0.36,0.69,0.7,0.35,0.38,0.26,0.51,0.36,0.23,0.37,0.34,0.29,0.38,0.37,0.37,0.39,0.33,0.33,0.33,0.41,0.37,0.32,0.5,0.59,0.36,0.34,0.28,0.91,0.31,0.46,0.31,0.51,0.4,0.29,0.46,0.38,0.47,0.52,0.32,0.33,0.31,0.38,0.37,0.34,0.31,0.64,0.4,0.38,0.44,0.33,0.38,0.35,0.42,0.36,0.31,0.39,0.25,0.38,0.32,0.29,0.37,0.56,0.44,0.32,0.3,0.34,0.34,0.34,0.39,0.8,0.33,0.35,0.4,0.43,0.49,0.42,0.3,0.38,0.46,0.43
wu_palmer___sentence_merge_strategy-all_to_all_synset_strategy-first_wordnet-slk:0.13,0.34,0.37,0.25,0,0.14,0.15,0.1,0.25,0.18,0.18,0.14,0.18,0.2,0.2,0.21,0.15,0.16,0.19,0.12,0.16,0.25,0.17,0.19,0.21,0.17,0.5,0.2,0.25,0.19,0.1,0.29,0.12,0.14,0.27,0.13,0.07,0.12,0.25,0.19,0.2,0.23,0.16,0.17,0.21,0.38,0.33,0.19,0.16,0.62,0.42,0.12,0.18,0.17,0.26,0.14,0.16,0.13,0.29,0.16,0.1,0.14,0.29,0.21,0.22,0.16,0.13,0.19,0.17,0.5,0.11,0.5,0.11,0.11,0.18,0.14,0.18,0.19,0.23,0.19,0.18,0.27,0.24,0.23,0.12,0.2,0.22,0.26,0.25,0.25,0.12,0.15,0.17,0.25,0.17,0.23,0.47,0.22,0.17,0.14,0.36,0.15,0.13,0.5,0.18,0.17,0.19,0.15,0.16,0.21,0.12,0.14,0.11,0.18,0.16,0.19,0.13,0.13,0.17,0.17,0.09,0.11,0.12,0.22,0.16,0.21,0.16,0.27,0.14,0.25,0.25,0.18,0.15,0.23,0.14,0.16,0.11,0.16,0.2,0.19,0.17,0.13,0.4,0.23,0.21,0.18,0.43,0.22,0.17,0.21,0.15,0.23,0.26,0.09,0.18,0.19,0.16,0.13,0.19,0.2,0.24,0.22,0.12,0.12,0.25,0.25,0.14,0.15,0.11,0.18,0.11,0.13,0.32,0.2,0.22,0.25,0.22,0.19,0.13,0.12,0.3,0.15,0.18,0.11,0.2,0.27,0.1,0.24,0.33,0.12,0.17,0.14,0.17,0.22,0.26,0,0.3,0.18,0.15,0.17,0.12,0.15,0.24,0.23,0.1,0.13,0.18,0.25,0.19,0.23,0.09,0.15,0.28,0.24,0.18,0.23,0.12,0.2,0.16,0.14,0.16,0.15,0.23,0.17,0.15,0.09,0.34,0.23,0.05,0.21,0.18,0.19,0.2,0.11,0.1,0.26,0.16,0.13,0.2,0.28,0.15,0.15,0.25,0.13,0.14,0.18,0.11,0.46,0.09,0.2,0.14,0.12,0.12,0.16,0.19,0.15,0.12,0.26,0.18,0.14,0.13,0.18,0.17,0.16,0.17,0.21,0.21,0.17,0.11,0.19,0.2,0.12,0.08,0.17,0.12,0.13,0.08,0.25,0.14,0.14,0.19,0.21,0.22,0.19,0.14,0.28,0.17,0.14,0.11,0.12,0.15,0.22,0.18,0.17,0.18,0.18,0.17,0.11,0.21,0.11
wu_palmer___sentence_merge_strategy-all_to_all_synset_strategy-max_wordnet-slk:0.18,0.34,0.37,0.25,0,0.17,0.18,0.12,0.25,0.21,0.2,0.19,0.18,0.21,0.22,0.21,0.17,0.19,0.22,0.15,0.22,0.26,0.19,0.2,0.24,0.21,0.5,0.21,0.33,0.23,0.12,0.32,0.15,0.2,0.29,0.15,0.1,0.17,0.3,0.2,0.23,0.25,0.19,0.19,0.24,0.43,0.33,0.2,0.19,0.63,0.42,0.15,0.19,0.18,0.27,0.15,0.2,0.18,0.3,0.17,0.1,0.18,0.29,0.24,0.3,0.2,0.13,0.22,0.18,0.5,0.14,0.5,0.12,0.14,0.18,0.14,0.2,0.22,0.26,0.23,0.23,0.27,0.26,0.26,0.14,0.27,0.24,0.28,0.27,0.25,0.15,0.2,0.23,0.27,0.22,0.24,0.47,0.26,0.18,0.2,0.42,0.16,0.14,0.5,0.18,0.22,0.21,0.17,0.16,0.22,0.17,0.17,0.16,0.2,0.17,0.26,0.13,0.14,0.25,0.23,0.13,0.12,0.13,0.27,0.2,0.22,0.16,0.27,0.17,0.27,0.26,0.18,0.18,0.26,0.18,0.18,0.14,0.18,0.25,0.24,0.21,0.14,0.4,0.28,0.21,0.21,0.45,0.26,0.21,0.24,0.23,0.25,0.3,0.12,0.18,0.27,0.18,0.14,0.19,0.27,0.27,0.22,0.12,0.13,0.3,0.25,0.18,0.2,0.14,0.21,0.13,0.16,0.33,0.24,0.25,0.3,0.24,0.2,0.16,0.14,0.34,0.16,0.2,0.12,0.2,0.33,0.15,0.24,0.36,0.12,0.21,0.19,0.18,0.27,0.29,0,0.33,0.2,0.2,0.21,0.13,0.18,0.28,0.26,0.13,0.16,0.19,0.26,0.22,0.26,0.11,0.2,0.28,0.27,0.19,0.26,0.14,0.21,0.17,0.17,0.19,0.15,0.24,0.19,0.18,0.16,0.35,0.29,0.1,0.25,0.21,0.21,0.22,0.13,0.12,0.35,0.22,0.14,0.21,0.29,0.22,0.19,0.32,0.15,0.19,0.22,0.17,0.46,0.1,0.22,0.19,0.14,0.15,0.19,0.21,0.16,0.13,0.39,0.18,0.14,0.15,0.19,0.19,0.23,0.21,0.22,0.23,0.2,0.11,0.22,0.22,0.13,0.1,0.19,0.15,0.14,0.13,0.31,0.2,0.2,0.23,0.21,0.22,0.25,0.18,0.3,0.18,0.18,0.11,0.12,0.18,0.24,0.24,0.2,0.2,0.2,0.19,0.14,0.22,0.12
wu_palmer___sentence_merge_strategy-all_to_all_synset_strategy-average_wordnet-slk:0.13,0.34,0.35,0.23,0,0.13,0.16,0.1,0.22,0.18,0.18,0.13,0.15,0.18,0.19,0.2,0.14,0.16,0.19,0.12,0.15,0.22,0.17,0.17,0.21,0.17,0.5,0.16,0.23,0.17,0.11,0.3,0.12,0.17,0.24,0.12,0.08,0.12,0.22,0.19,0.2,0.23,0.16,0.14,0.2,0.28,0.19,0.18,0.16,0.42,0.4,0.1,0.15,0.15,0.25,0.13,0.15,0.12,0.28,0.14,0.09,0.15,0.27,0.2,0.2,0.15,0.12,0.2,0.17,0.37,0.1,0.28,0.1,0.1,0.16,0.12,0.16,0.16,0.24,0.19,0.17,0.24,0.24,0.21,0.11,0.16,0.23,0.23,0.25,0.2,0.1,0.15,0.16,0.19,0.14,0.21,0.47,0.21,0.15,0.15,0.36,0.12,0.11,0.28,0.13,0.16,0.16,0.13,0.13,0.2,0.12,0.13,0.11,0.18,0.15,0.19,0.1,0.12,0.17,0.21,0.1,0.09,0.11,0.14,0.14,0.21,0.15,0.23,0.15,0.24,0.23,0.17,0.15,0.17,0.15,0.16,0.11,0.16,0.2,0.18,0.15,0.11,0.38,0.23,0.19,0.17,0.3,0.23,0.17,0.21,0.16,0.23,0.21,0.08,0.16,0.19,0.16,0.12,0.18,0.18,0.24,0.19,0.11,0.12,0.28,0.2,0.14,0.12,0.09,0.17,0.1,0.12,0.33,0.2,0.21,0.23,0.21,0.19,0.12,0.11,0.28,0.14,0.16,0.09,0.17,0.28,0.09,0.19,0.24,0.11,0.17,0.13,0.16,0.22,0.19,0,0.3,0.16,0.15,0.16,0.11,0.13,0.21,0.24,0.1,0.12,0.15,0.22,0.17,0.17,0.08,0.14,0.27,0.25,0.15,0.26,0.11,0.16,0.15,0.15,0.16,0.11,0.19,0.16,0.14,0.1,0.35,0.21,0.06,0.21,0.17,0.18,0.18,0.11,0.11,0.23,0.16,0.13,0.16,0.27,0.15,0.15,0.17,0.12,0.15,0.18,0.13,0.37,0.09,0.19,0.15,0.1,0.11,0.16,0.18,0.14,0.11,0.21,0.17,0.13,0.13,0.17,0.17,0.17,0.17,0.18,0.19,0.15,0.1,0.19,0.2,0.12,0.07,0.17,0.11,0.13,0.08,0.23,0.13,0.14,0.2,0.2,0.22,0.18,0.13,0.27,0.17,0.14,0.1,0.1,0.13,0.22,0.19,0.16,0.16,0.17,0.16,0.14,0.2,0.08
wu_palmer___sentence_merge_strategy-match_cutoff_synset_strategy-all_synsets_wordnet-slk:0.42,1.0,0.76,0.92,0,0.32,0.86,0.64,0.56,0.24,0.24,0.49,1.0,0.21,0.42,0.71,0.34,1.0,0.89,0.67,0.39,0.5,0.32,1.0,0.34,0.43,0,1.0,0.44,0.89,0.39,0.64,0.78,0.62,1.0,0.31,0.3,0.24,0.25,0,0.26,0.59,0.37,0.37,0.96,0.98,0.5,0.82,0.26,1.0,0.79,0.58,0.99,1.0,0.29,0.23,1.0,0.17,0.94,0.22,0.4,0.25,0.67,1.0,0.23,1.0,1.0,0.49,0.65,1.0,0.22,1.0,0.4,0.43,0.97,0.5,0.25,0.29,0.28,0.21,0.41,1.0,0.21,0.31,0.24,1.0,0.29,0.44,0.78,1.0,0.25,0.27,0.44,0.29,0.46,0.73,0.33,0.57,1.0,0.28,0.44,0.51,0.91,1.0,0.47,0.46,0.75,0.62,0.31,0.28,0.34,0.37,0.34,0.48,0.42,0.3,0.31,0.31,0.25,0.82,0.84,1.0,0.85,0.27,0.35,0.34,0.12,0.25,0.53,0.2,0.75,1.0,0.3,0.19,0.31,0.59,0.27,0.97,0.23,0.24,0.65,0.35,0.76,0.66,1.0,0.36,1.0,0.32,0.28,0.44,0.32,0.29,0.65,0.33,1.0,0.34,0.18,0.21,0.93,0.28,0.27,0.21,0.36,0.34,0.5,0.5,0.42,0.33,0.29,0.38,0.3,0.35,0.31,0.25,0.2,0.61,1.0,0.44,0.53,0.35,1.0,0.55,0.53,0.22,0.84,0.19,0.71,0.93,1.0,1.0,0.51,0.23,0.4,0.25,0.82,0,0.9,1.0,0.46,0.29,0.33,0.15,0.65,0.84,0.59,0.43,0.86,0.77,0.66,0.19,0.51,0.81,1.0,0.28,0.81,1.0,0.33,0.95,0.45,0.35,0.26,0.33,0.5,0.46,0.42,0.51,0,0.39,0.28,0.28,0.42,0.67,1.0,0.72,0.45,0.51,0.3,0.17,0.92,0.26,0.38,0.82,0.93,0.29,0.28,0.21,0.25,1.0,0.29,0.23,0.24,0.61,0.39,0.27,0.16,0.54,0.94,0.28,0.83,0.75,0.45,0.12,0.51,0.25,0.34,0.47,0.38,0.4,0.31,0.36,0.29,0.2,0.33,0.32,0.34,0.94,0.33,0.89,0.31,0.84,0.4,0.83,0.68,0.3,0.66,0.56,0.36,0.41,0.77,0.75,0.38,0.89,0.64,0.36,1.0,0.37,0.53,0,0.36,0.18
