4	Mexiko chcieť zaručiť bezpečnosť občan	Mexiko byť priať vyhnúť sa veľký násilie
4.2	Španielsko v súčasnosť držať rotujúci predsedníctvo v OBSE	Španielsko v súčasnosť predsedať
4.2	zmluva bola prvýkrát podpísaný v rok 1990	zmluva o bola podpísaný v rok 1990
3.2	a byť popravený vo väzenie	a byť popravený za obchodovanie s heroín v provincia Sistán
0.6	bezpečný bola odsúdený na 15 rok väzenie	bola odsúdený na pätiť rok
3.6	uviesť že rádioaktívny materiál bola primárny základ pre výroba surový zbraň hromadný ničenie a terorizmus	urán byť rádioaktívny materiál ktorý byť primárny základ pre výroba špinavý zbraň hromadný ničenie a terorizmus
3.6	uviesť že digitálny červ s názov bola obzvlášť a replikovať sa rýchlosť 8 000 krát za hodina	uviesť že digitálny červ s názov mať veľmi vysoká schopnosť replikácia a digitálny červ s názov spomaľovať počítačový sieť post italiana a robiť niektorý počítač nefunkčný
2	uviesť že v súčasnosť byť veľký záujem o právať duševný vlastníctvo ako pred 20 alebo 30 rok	uviesť že niektorý národ mať silne právať duševný vlastníctvo ako iný
4.4	vyšetrovateľ tvrdiť že britský spoločnosť bola kryt čí	ruský vyšetrovateľ uviesť že britský spoločnosť bola kryt čí
1.4	členské štát Rusko a nato byť táto jeseň rokovať o konvenčný sila v európsky zmluva CFE	ruský parlament jednomyseľne hlasovať za pozastavenie účasť Ruska v zmluva o konvenčný sila v Európa CFE
4.6	vláda spojený štát a ďalší člen nato odmiesť ratifikovať zmenený a doplnený zmluva až kto predstaviteľ v Moskva nestiahnuť vojsko z bývalá sovietsky republika Moldavsko a Gruzínsko	spojený štát a ďalší člen nato odmiesť ratifikovať zmenený a doplnený zmluva kto sa Rusko úplne nevstúpiť z Moldavsko a Gruzínsko
2	Rusko by okamžite nezvýšiť vojenský sila pozdĺž ruský hranica	Rusko by v prípad potreba neváhať zvýšiť vojenský sila pozdĺž ruský hranica
2.2	centrum byť v prevádzka od august 2008	centrum byť formálne otvorený v rok 2009
3.8	brazílsky polícia obklopujúci severne od Rio aby ich zbaviť násilný obchodník s droga	policajt obkľúčiť severne od Rio aby ich zbaviť násilný obchodník s droga a zaistiť zbraň a droga
3.6	regionálne a medzinárodný otázka nešírenie by sa mať riešiť prostredníctvo dialóg a rokovanie	druhý návrh byť že regionálne a medzinárodný otázka nešírenie jadrový zbraň by sa mať riešiť prostredníctvo dialóg a rokovanie
2.6	v Afganistan dôjsť k bombardovanie pretože v posledný deň pribúdať útok protivládny povstalec	v Afganistan dôjsť k bombový útok polícia však zatiaľ neuviesť kto byť zodpovedný
4.8	webový stránka gruzínsky vláda byť pod silný kybernetický útok po ruský vojenský útok proti Gruzínsko koncom minulý týždeň	kybernetický útok nasledovať po ruský vojenský útok proti Gruzínsko koncom minulý týždeň
3.8	obchodný a diplomatický vzťah Švajčiarsko s Irán byť kritizovaný v posledný mesiac po ten čo v marec 2008 odcestovať ministerka zahraničie Reyová do Teherana aby podpísať dohoda s iránsky štátny plynárenský spoločnosť	obchodný a diplomatický vzťah Švajčiarsko s islamský republika byť kritizovaný v posledný mesiac po ten čo v marec 2008 odcestovať ministerka zahraničie Reyová do Teherana aby podpísať dohoda o plyn
2.8	zmluva o konvenčný sila v Európa obmedzovať počet vojenský lietadlo tank a iný nejadrový ťažký zbraň v Európa	zmluva o konvenčný sila v Európa bola podpísaný ruský a nato v rok 1990
3.6	africký únia navrhnúť mierový misia s cieľ pomôcť somálsky dočasný vláda stabilizovať Somálsko	africký únia navrhnúť mierový misia na pomoc prechodný dočasný vláda v stabilizácia somálsky najmä po stiahnutie etiópsky sila
4.2	správa uvádzať že sýrsky vláda na miesiť napadnutie tajiť jadrový zariadenie	u n. expert začať analyzovať správa podľa ktorý sýrsky vláda tajiť jadrový zariadenie na napadnutý miesiť
3.4	droga byť tiež známa ako ľad alebo	metamfetamín byť tiež známy ako ľad
4	národný regionálne a medzinárodný snaha o ukončenie nezákonný obchod s ručný a ľahký zbraň	globálne spoločenstvo musieť spolupracovať na ukončenie nezákonný obchod s ručný a ľahký zbraň
4	v Pakistan pokračovať náboženský extrémizmus napriek zákaz militantný skupina	v Pakistan pokračovať náboženský extrémizmus napriek zákaz militantný skupina pakistanský vláda
3.2	ruský predstaviteľ vyzvať na konferencia o zmluva o konvenčný sila v Európa na ktorý sa byť diskutovať o ratifikácia zmenený a doplnený zmluva	Anton vystúpiť deň pred konferencia o zmluva o konvenčný sila v Európa
4.4	ruský prezident podpisovať dekrét o pozastavenie uplatňovanie európsky zmluva o kontrola zbraň Rusko	prezident Vladimíra podpísať dekrét o pozastavenie účasť Ruska v konvenčný sila na európsky zmluva
5	Mjanmarsko byť predtým znať ako	Mjanmarsko sa predtým volať
0	alt sa nachádzať severovýchodne od hlavný mesto Lima	sa nachádzať 557 km severovýchodne od Nikaragua Managua
3.8	nato ľutovať rozhodnutie Ruska pozastaviť účasť na CFE	rozhodnutie Ruska pozastaviť účasť na CFE byť krok zlé smer
4.2	medza porušenie ľudský právo v Mjanmarsko patriť hromadný poprava mučenie a nábor detská vojak	medza tento porušenie ľudský právo patriť hromadný poprava mučenie a nábor dieťa
2.4	generál n. urak telefonicky uviesť že štátny vedecký stredisko aplikovaný mikrobiológia mať v prípad núdza celkom spoľahlivý systém ochrana	generál n. urak byť dlhoročný riaditeľ štátny vedecký center aplikovaný mikrobiológia
3.6	spoločnosť Alst o zákazka súťaž s japonský a nemecký krajina	spoločnosť Alst súťaž o zákazka s japonský spoločnosť a nemecký spoločnosť
3.8	legislatíva byť posledné úsilie Japonsko pripísať mnoho prísnosť svoj prísne kontrolovaný armáda a zrušiť by zákaz vojenský využívanie vesmír	legislatíva byť posledné úsilie Japonsko pripísať veľký sloboda prísne kontrolovaný armáda ktorý byť technicky známa ako sila sebaobrana
2	južný Kórea zavádzať nový guľový vlak s rýchlosť 300 km h	južný Kórea mať systém guľový vlak od 80. rok
2.2	Rusko byť člen kvarteto na blízko východ	Rusko byť člen NSR
4.6	vyhlásiť sokol sovietsky vybudovaný raketový obranný systém a 135 okolo Moskva byť zastaraný a neefektívny	sovietsky postavený systém protiraketový obrana a 135 okolo Moskva byť zastaraný a neefektívny
0.6	dohoda byť v platnosť niekoľko rok	vyšetrovať iránsky jadrový aktivita už 4 rok
3.2	dodržiavanie povinnosť nešírenie jadrový zbraň zvýšiť vzájomný dôvera a medzinárodný spolupráca v oblasť jadrový energia	uviesť že všetok krajina by mať dodržiavať povinnosť nešírenie zbraň hromadný ničenie aby sa posilniť vzájomný dôvera a vytvoriť dobré prostredie pre medzinárodný spolupráca v oblasť jadrový energia
4	francúzsky energetický a dopravný spoločnosť môcť podpísať zmluva na vybudovanie vysokorýchlostný železničný spojenie medza Peking a Šanghaj	Alst môcť podpísať zmluva na vybudovanie vysokorýchlostný železničný spojenie medza Peking a Šanghaj
2	žiaden iný liek sa za desaťročie nestať taký integrálny	droga existovať už rok v iný forma
3.4	medzinárodný agentúra pre atómový energia dosiahnuť dohoda s iránsky úradník ktorý uviesť že v súvislosť s iránsky jadrový program a činnosť neexistovať žiaden ďalší problém a nejasnosť	dohoda uviesť že v súvislosť s iránsky jadrový program a činnosť neexistovať žiaden ďalší otázka a nejasnosť
3.8	pekinský polícia zadržať mnoho ako 20 človek vrátane 8 cudzinec podozrivý z užívanie droga a obchodovanie s on v 2 krčma v obľúbený center mesto	polícia zadržať mnoho ako 20 človek pre podozrenie z užívanie a obchodovanie s droga v 2 bar v center mesto
